PRICE,PRICE,,PRICE,PRICE,,PRICE,PRICE,,PRICE,PRICE,,PRICE,PRICE,
CODE,EACH,,CODE,EACH,,CODE,EACH,,CODE,EACH,,CODE,EACH,
301,26.96,,361,73.39,,421,116.06,,481,160.70,,541,211.78,
302,29.83,,362,73.78,,422,116.89,,482,161.40,,542,212.00,
303,31.65,,363,74.76,,423,117.59,,483,161.96,,543,212.87,
304,32.33,,364,74.94,,424,118.14,,484,162.69,,544,214.03,
305,34.13,,365,76.05,,425,118.86,,485,163.49,,545,214.67,
306,34.93,,366,76.73,,426,119.60,,486,163.85,,546,216.00,
307,35.73,,367,77.30,,427,120.24,,487,164.76,,547,216.72,
308,36.20,,368,78.02,,428,120.87,,488,165.55,,548,217.45,
309,36.80,,369,78.57,,429,121.29,,489,165.90,,549,218.48,
310,37.33,,370,79.05,,430,121.97,,490,166.77,,550,219.20,
311,38.53,,371,79.73,,431,122.95,,491,166.98,,551,220.09,
312,39.14,,372,80.54,,432,123.51,,492,168.55,,552,220.92,
313,39.60,,373,81.24,,433,123.84,,493,169.27,,553,221.82,
314,40.47,,374,81.84,,434,124.82,,494,170.35,,554,223.05,
315,40.74,,375,82.52,,435,125.52,,495,170.98,,555,224.49,
316,41.21,,376,83.26,,436,126.08,,496,171.71,,556,225.23,
317,42.28,,377,83.83,,437,126.92,,497,173.05,,557,225.89,
318,43.01,,378,84.57,,438,127.60,,498,173.56,,558,227.35,
319,43.22,,379,85.04,,439,128.22,,499,174.34,,559,230.11,
320,44.03,,380,86.49,,440,128.92,,500,175.05,,560,231.85,
321,44.83,,381,87.15,,441,129.40,,501,175.70,,561,232.74,
322,45.63,,382,87.85,,442,130.25,,502,176.50,,562,233.53,
323,45.76,,383,88.20,,443,130.96,,503,176.98,,563,235.93,
324,46.96,,384,89.14,,444,131.57,,504,178.28,,564,237.60,
325,47.56,,385,89.83,,445,132.28,,505,179.12,,565,238.25,
326,48.05,,386,90.44,,446,132.40,,506,179.99,,566,238.99,
327,48.84,,387,91.11,,447,132.76,,507,181.35,,567,239.84,
328,49.50,,388,91.78,,448,133.44,,508,181.97,,568,240.66,
329,50.05,,389,92.30,,449,134.26,,509,182.61,,569,241.67,
330,50.55,,390,93.10,,450,134.63,,510,183.30,,570,243.34,
331,51.40,,391,93.64,,451,135.60,,511,183.92,,571,245.10,
332,51.92,,392,94.40,,452,136.29,,512,184.88,,572,245.91,
333,52.44,,393,95.07,,453,136.98,,513,185.48,,573,248.76,
334,53.12,,394,95.41,,454,137.61,,514,186.13,,574,249.30,
335,53.86,,395,96.17,,455,138.09,,515,186.49,,575,250.68,
336,54.38,,396,96.84,,456,138.95,,516,187.19,,576,251.35,
337,55.92,,397,97.67,,457,139.44,,517,188.05,,577,252.37,
338,56.54,,398,98.21,,458,140.17,,518,188.77,,578,253.41,
339,56.93,,399,98.90,,459,141.63,,519,189.28,,579,256.00,
340,57.43,,400,99.64,,460,142.34,,520,190.14,,580,257.31,
341,58.34,,401,100.12,,461,142.76,,521,190.83,,581,258.12,
342,59.15,,402,100.73,,462,143.58,,522,191.35,,582,259.66,
343,59.61,,403,101.49,,463,144.22,,523,192.20,,583,262.56,
344,60.21,,404,102.26,,464,144.69,,524,192.79,,584,266.18,
345,60.69,,405,102.92,,465,145.61,,525,193.40,,585,267.56,
346,61.28,,406,103.46,,466,146.23,,526,194.35,,586,269.17,
347,62.35,,407,104.21,,467,146.86,,527,195.05,,587,272.09,
348,62.82,,408,104.69,,468,147.57,,528,195.99,,588,276.21,
349,63.15,,409,105.44,,469,147.91,,529,196.83,,589,276.80,
350,64.28,,410,106.13,,470,148.95,,530,197.64,,590,279.79,
351,64.90,,411,106.80,,471,149.49,,531,199.19,,591,285.11,
352,65.51,,412,107.48,,472,149.99,,532,199.84,,592,287.36,
353,66.57,,413,107.97,,473,150.76,,533,200.21,,593,291.06,
354,67.24,,414,108.85,,474,151.51,,534,201.63,,594,293.68,
355,67.77,,415,109.46,,475,152.15,,535,202.35,,595,294.62,
356,68.77,,416,110.01,,476,153.05,,536,203.86,,596,305.69,
357,69.11,,417,110.77,,477,153.66,,537,204.35,,597,312.82,
358,69.97,,418,111.46,,478,153.80,,538,205.29,,598,317.86,
359,70.59,,419,112.11,,479,154.78,,539,206.64,,599,333.93,
360,71.25,,420,112.68,,480,155.47,,540,207.44,,,,
